Species,Class,Sex,Parameter,Mean,SD,Lower,Upper
Tragelaphus oryx,Mammalia,Female,a0,0.06116549,0.933881049,-0.977939189,1.131836268
Tragelaphus oryx,Mammalia,Female,a1,19.86397551,17.73078291,1.95948429,42.23088969
Tragelaphus oryx,Mammalia,Female,c,0.052311944,0.012385053,0.035941563,0.067504729
Tragelaphus oryx,Mammalia,Female,b0,-8.164212986,1.053562894,-9.808380492,-6.620031237
Tragelaphus oryx,Mammalia,Female,b1,0.429861868,0.061031276,0.337712135,0.525837253
Tragelaphus oryx,Mammalia,Male,a0,-0.73386211,0.049068562,-0.830534191,-0.639401686
Tragelaphus oryx,Mammalia,Male,a1,1.226127545,0.09845266,1.049426213,1.434516172
Tragelaphus oryx,Mammalia,Male,c,0.043042502,0.013213757,0.012638118,0.065121076
Tragelaphus oryx,Mammalia,Male,b0,-4.788470112,0.596668979,-6.000535654,-3.676131424
Tragelaphus oryx,Mammalia,Male,b1,0.231521055,0.039839647,0.158985526,0.313903624
Tragelaphus angasii,Mammalia,Female,a0,0.337053104,0.104884258,0.132902629,0.541809447
Tragelaphus angasii,Mammalia,Female,a1,8.267286848,1.037513084,6.393864175,10.45823788
Tragelaphus angasii,Mammalia,Female,c,0.090613851,0.004339871,0.082011931,0.099147108
Tragelaphus angasii,Mammalia,Female,b0,-9.020604308,0.823017895,-10.72903505,-7.524529487
Tragelaphus angasii,Mammalia,Female,b1,0.586494763,0.059714469,0.476121582,0.710565304
Tragelaphus angasii,Mammalia,Male,a0,0.932646432,0.108868006,0.71431317,1.146356781
Tragelaphus angasii,Mammalia,Male,a1,20.38530536,2.499063436,15.99234956,25.82154019
Tragelaphus angasii,Mammalia,Male,c,0.195492577,0.017557824,0.167362074,0.214969873
Tragelaphus angasii,Mammalia,Male,b0,-6.103157997,1.215686639,-8.693526579,-3.735157064
Tragelaphus angasii,Mammalia,Male,b1,0.379883638,0.101502426,0.165224138,0.584776051
Macropus agilis,Mammalia,Female,a0,-2.357631207,0.550994251,-3.627150203,-1.440435278
Macropus agilis,Mammalia,Female,a1,2.307259051,1.820277692,0.190674583,7.193843523
Macropus agilis,Mammalia,Female,c,0.127142121,0.016190359,0.08416315,0.149548163
Macropus agilis,Mammalia,Female,b0,-10.21209557,3.564508844,-17.36968596,-3.793631529
Macropus agilis,Mammalia,Female,b1,0.317849599,0.228847236,0.008488778,0.795199867
Macropus agilis,Mammalia,Male,a0,-1.549303373,0.654977364,-3.05093679,-0.484681289
Macropus agilis,Mammalia,Male,a1,6.525502492,2.769739871,2.005786207,12.75275688
Macropus agilis,Mammalia,Male,c,0.206203271,0.037789891,0.091740513,0.250026839
Macropus agilis,Mammalia,Male,b0,-7.167186859,3.273468001,-14.42502721,-2.244746196
Macropus agilis,Mammalia,Male,b1,0.263210516,0.210571815,0.01420814,0.793303209
Tragelaphus eurycerus,Mammalia,Female,a0,1.066746139,0.12347888,0.816565153,1.307542513
Tragelaphus eurycerus,Mammalia,Female,a1,26.75618233,2.675883713,21.74142,32.22787868
Tragelaphus eurycerus,Mammalia,Female,c,0.046743887,0.004593893,0.037174335,0.055201361
Tragelaphus eurycerus,Mammalia,Female,b0,-5.987735195,0.429327813,-6.877229528,-5.165401629
Tragelaphus eurycerus,Mammalia,Female,b1,0.302062044,0.027324972,0.248933741,0.356967955
Tragelaphus eurycerus,Mammalia,Male,a0,1.523089198,0.112689814,1.304410989,1.740465212
Tragelaphus eurycerus,Mammalia,Male,a1,30.85709157,2.596666857,25.91932167,36.14157963
Tragelaphus eurycerus,Mammalia,Male,c,0.016530301,0.010457213,0.000905552,0.039166669
Tragelaphus eurycerus,Mammalia,Male,b0,-3.487060744,0.267964705,-4.099321011,-3.086368484
Tragelaphus eurycerus,Mammalia,Male,b1,0.17909504,0.020232408,0.145626735,0.224279488
Suricata suricatta,Mammalia,Female,a0,-0.479274982,0.100337534,-0.679257885,-0.288474588
Suricata suricatta,Mammalia,Female,a1,10.8379782,1.192086485,8.66979349,13.31006263
Suricata suricatta,Mammalia,Female,c,0.058361109,0.003328917,0.051622019,0.064707175
Suricata suricatta,Mammalia,Female,b0,-5.550776791,0.264540937,-6.085056123,-5.052302695
Suricata suricatta,Mammalia,Female,b1,0.351811951,0.021741242,0.310481816,0.395342446
Suricata suricatta,Mammalia,Male,a0,-0.619253231,0.096421165,-0.812393348,-0.432004926
Suricata suricatta,Mammalia,Male,a1,9.615229254,0.961292776,7.848518698,11.6952863
Suricata suricatta,Mammalia,Male,c,0.035547901,0.003612424,0.028046331,0.04221049
Suricata suricatta,Mammalia,Male,b0,-4.771011004,0.193863252,-5.15979496,-4.392359904
Suricata suricatta,Mammalia,Male,b1,0.289816833,0.016045215,0.258037893,0.321101142
Callithrix jacchus,Mammalia,Female,a0,0.86911235,0.114134846,0.643102684,1.096924501
Callithrix jacchus,Mammalia,Female,a1,31.70601669,2.67975976,26.69923863,37.19233227
Callithrix jacchus,Mammalia,Female,c,0.017810194,0.014795269,0.000571816,0.054098151
Callithrix jacchus,Mammalia,Female,b0,-2.485527333,0.183888444,-2.959767208,-2.266897194
