Species,Class,Sex,Parameter,Mean,SD,Lower,Upper
Chalcopsitta duivenbodei,Aves,Male,b0,-8.127351804,3.070540905,-14.91946943,-3.351463203
Chalcopsitta duivenbodei,Aves,Male,b1,0.269977534,0.156748574,0.024507653,0.605976522
Anser cygnoides,Aves,Female,a0,-1.131485361,0.326049695,-1.804303986,-0.520055928
Anser cygnoides,Aves,Female,a1,6.1700242,1.673902571,3.368235921,9.841926543
Anser cygnoides,Aves,Female,c,0.013382925,0.008682898,0.000600642,0.031609138
Anser cygnoides,Aves,Female,b0,-4.210601662,0.477933533,-5.378761785,-3.57173358
Anser cygnoides,Aves,Female,b1,0.111306605,0.024007883,0.075383209,0.168721996
Anser cygnoides,Aves,Male,a0,-1.602992254,0.416292574,-2.471816489,-0.835189463
Anser cygnoides,Aves,Male,a1,6.544784346,2.47441707,2.700985506,12.21967894
Anser cygnoides,Aves,Male,c,0.01011242,0.007931557,0.000373426,0.029189201
Anser cygnoides,Aves,Male,b0,-3.81561324,0.336396633,-4.66921513,-3.362243053
Anser cygnoides,Aves,Male,b1,0.089218075,0.016129847,0.063860043,0.127859096
Anser erythropus,Aves,Female,a0,-2.106467744,0.512912515,-3.229682344,-1.232288065
Anser erythropus,Aves,Female,a1,5.23568986,2.294330909,1.807560621,10.7604925
Anser erythropus,Aves,Female,c,0.044147854,0.017311419,0.005849855,0.070700245
Anser erythropus,Aves,Female,b0,-5.047424877,1.353646078,-8.175519886,-3.206496647
Anser erythropus,Aves,Female,b1,0.178374867,0.076570806,0.074996005,0.35824407
Anser erythropus,Aves,Male,a0,-1.084396294,0.340039573,-1.797239813,-0.467647544
Anser erythropus,Aves,Male,a1,9.532291161,2.411183996,5.457719392,14.98884462
Anser erythropus,Aves,Male,c,0.031673953,0.013860725,0.002800073,0.054829007
Anser erythropus,Aves,Male,b0,-4.678844297,0.93460696,-6.904326209,-3.302021025
Anser erythropus,Aves,Male,b1,0.153280243,0.053612974,0.075277866,0.282010871
Anas sibilatrix,Aves,Female,a0,-1.46362501,0.419128398,-2.380295611,-0.711487679
Anas sibilatrix,Aves,Female,a1,7.690886212,2.834431422,3.035332695,14.05186113
Anas sibilatrix,Aves,Female,c,0.071744145,0.019406602,0.020130062,0.096410636
Anas sibilatrix,Aves,Female,b0,-4.970653943,1.423416835,-8.428084046,-2.859617485
Anas sibilatrix,Aves,Female,b1,0.142565153,0.072836485,0.041194593,0.319554142
Anas sibilatrix,Aves,Male,a0,-1.890513595,0.521001526,-3.009968757,-0.961410506
Anas sibilatrix,Aves,Male,a1,7.619357789,3.636465299,1.771985158,15.10621635
Anas sibilatrix,Aves,Male,c,0.03588951,0.018535402,0.002683836,0.069418793
Anas sibilatrix,Aves,Male,b0,-3.63401144,0.584960228,-5.019478555,-2.809405686
Anas sibilatrix,Aves,Male,b1,0.108750162,0.031359888,0.063273057,0.181502303
Ptilinopus aurantiifrons,Aves,Female,a0,-2.485957519,0.791904906,-4.170132178,-1.022829681
Ptilinopus aurantiifrons,Aves,Female,a1,4.050061062,2.968725148,0.206827499,11.16875897
Ptilinopus aurantiifrons,Aves,Female,c,0.120133844,0.029891252,0.048056368,0.17306388
Ptilinopus aurantiifrons,Aves,Female,b0,-8.930802001,3.650812495,-16.95114269,-3.073106221
Ptilinopus aurantiifrons,Aves,Female,b1,0.212628454,0.161219449,0.007744283,0.588416783
Ptilinopus aurantiifrons,Aves,Male,a0,-2.336570436,0.827358281,-3.969937801,-0.771210846
Ptilinopus aurantiifrons,Aves,Male,a1,4.834521816,3.236342227,0.183510679,12.11372049
Ptilinopus aurantiifrons,Aves,Male,c,0.137077764,0.028770244,0.068291932,0.188006831
Ptilinopus aurantiifrons,Aves,Male,b0,-9.200898319,3.528735244,-16.85415395,-3.205937489
Ptilinopus aurantiifrons,Aves,Male,b1,0.22103333,0.164713251,0.008611848,0.592549087
Ptilinopus iozonus,Aves,Female,a0,-1.647763196,0.907796102,-3.556834893,-0.032158088
Ptilinopus iozonus,Aves,Female,a1,4.945402368,3.118984826,0.320484335,11.97130208
Ptilinopus iozonus,Aves,Female,c,0.176575184,0.034242599,0.098420425,0.239618022
Ptilinopus iozonus,Aves,Female,b0,-8.540369706,3.355382296,-15.6320267,-3.045579156
Ptilinopus iozonus,Aves,Female,b1,0.177089601,0.144661227,0.005688092,0.53256959
Ptilinopus iozonus,Aves,Male,a0,-0.404563376,0.621089169,-1.758356147,0.671679811
Ptilinopus iozonus,Aves,Male,a1,5.641827753,2.975854103,1.167651893,12.34890469
Ptilinopus iozonus,Aves,Male,c,0.125805641,0.022968028,0.076995507,0.168994696
Ptilinopus iozonus,Aves,Male,b0,-9.129225671,3.43150038,-16.61999532,-3.290866554
Ptilinopus iozonus,Aves,Male,b1,0.132187861,0.112908999,0.003488404,0.416422483
Ptilinopus jambu,Aves,Female,a0,-0.349928648,0.408145826,-1.179927748,0.403343992
Ptilinopus jambu,Aves,Female,a1,6.602899919,2.811525021,2.16135932,12.8032968
Ptilinopus jambu,Aves,Female,c,0.126465284,0.011892696,0.105881582,0.146141621
Ptilinopus jambu,Aves,Female,b0,-10.60483288,3.676753977,-18.36069958,-4.378738999
Ptilinopus jambu,Aves,Female,b1,0.180586136,0.159484312,0.003446447,0.554995492
Ptilinopus jambu,Aves,Male,a0,-0.088626013,0.357078614,-0.834880279,0.5485368
Ptilinopus jambu,Aves,Male,a1,8.559756511,2.602708274,3.935238939,14.10399199
Ptilinopus jambu,Aves,Male,c,0.127542602,0.013002076,0.101874146,0.148278667
Ptilinopus jambu,Aves,Male,b0,-9.725650554,3.472492161,-17.0966425,-3.817859009
Ptilinopus jambu,Aves,Male,b1,0.126528182,0.114357843,0.002622782,0.415811568
Ptilinopus melanospilus,Aves,Female,a0,-2.90348355,0.612648564,-4.285035968,-1.920554843
Ptilinopus melanospilus,Aves,Female,a1,2.452611853,2.901745583,0.055580115,10.36383781
Ptilinopus melanospilus,Aves,Female,c,0.117344595,0.026639276,0.037859799,0.148153686
Ptilinopus melanospilus,Aves,Female,b0,-9.225307396,2.903038632,-15.57072603,-4.351255418
Ptilinopus melanospilus,Aves,Female,b1,0.380208931,0.164474168,0.081022994,0.726814629
Ptilinopus melanospilus,Aves,Male,a0,-0.905967509,0.34734235,-1.621226421,-0.265217538
Ptilinopus melanospilus,Aves,Male,a1,7.137997999,2.513393932,3.289942134,12.87128754
Ptilinopus melanospilus,Aves,Male,c,0.124725085,0.009748894,0.106126193,0.142655189
Ptilinopus melanospilus,Aves,Male,b0,-9.69320365,2.505362165,-14.99742645,-5.220635802
Ptilinopus melanospilus,Aves,Male,b1,0.435341712,0.154141303,0.1281544,0.743846841
Strix nebulosa,Aves,Female,a0,-2.174968573,0.321257267,-2.86704937,-1.602474735
Strix nebulosa,Aves,Female,a1,1.170737819,0.703869806,0.390316442,2.931914268
Strix nebulosa,Aves,Female,c,0.046902611,0.01623922,0.009316284,0.071863335
Strix nebulosa,Aves,Female,b0,-5.669936663,1.323368667,-8.720360589,-3.612215734
Strix nebulosa,Aves,Female,b1,0.176064899,0.057676858,0.084156861,0.308246748
Strix nebulosa,Aves,Male,a0,-1.980123854,0.279159736,-2.548028339,-1.457959184
Strix nebulosa,Aves,Male,a1,1.159079703,0.523717841,0.491399174,2.411999298
Strix nebulosa,Aves,Male,c,0.047484218,0.011587423,0.017446684,0.065033149
Strix nebulosa,Aves,Male,b0,-7.496793993,2.003377506,-12.15010045,-4.267223179
Strix nebulosa,Aves,Male,b1,0.244834643,0.085218767,0.104019901,0.438104139
Urocolius macrourus,Aves,Female,a0,-3.069548034,0.739216793,-4.58713222,-1.707834959
Urocolius macrourus,Aves,Female,a1,5.37669855,3.444692517,0.052476255,12.81599955
Urocolius macrourus,Aves,Female,c,0.19253646,0.052699952,0.041658903,0.253858578
Urocolius macrourus,Aves,Female,b0,-6.438180948,3.07530159,-13.4164596,-1.986131291
Urocolius macrourus,Aves,Female,b1,0.356155396,0.244277628,0.033921841,0.926631531
Urocolius macrourus,Aves,Male,a0,-3.043230942,0.70979175,-4.55659675,-1.785469924
Urocolius macrourus,Aves,Male,a1,4.538947199,3.401885258,0.072539466,12.38599711
Urocolius macrourus,Aves,Male,c,0.12938242,0.026262352,0.050356314,0.164366614
Urocolius macrourus,Aves,Male,b0,-7.668602627,2.515469093,-13.01097103,-3.153036015
Urocolius macrourus,Aves,Male,b1,0.531502073,0.219866285,0.129298854,0.989311733
Balearica regulorum,Aves,Female,a0,-0.89635375,0.253344747,-1.403693698,-0.415248062
Balearica regulorum,Aves,Female,a1,7.184941811,2.064085888,3.953833471,12.00467785
Balearica regulorum,Aves,Female,c,0.061058721,0.003558234,0.053318527,0.067023931
Balearica regulorum,Aves,Female,b0,-9.359979122,2.191742757,-14.46163846,-5.901228496
Balearica regulorum,Aves,Female,b1,0.231110109,0.07390816,0.111492841,0.402481185
Balearica regulorum,Aves,Male,a0,-0.449215508,0.235091782,-0.940020845,-0.01498531
Balearica regulorum,Aves,Male,a1,9.540824022,2.225096657,5.571855142,14.3383039
Balearica regulorum,Aves,Male,c,0.059497476,0.002972939,0.053477713,0.064999964
Balearica regulorum,Aves,Male,b0,-9.662676952,2.022089298,-14.439492,-6.397717599
Balearica regulorum,Aves,Male,b1,0.229377829,0.067664302,0.120123958,0.388069593
Bubo scandiaca,Aves,Female,a0,-1.741318413,0.193244382,-2.115566095,-1.341382246
Bubo scandiaca,Aves,Female,a1,1.595357268,0.599111868,0.832459003,3.179542826
Bubo scandiaca,Aves,Female,c,0.055912759,0.011436846,0.026942724,0.07210459
Bubo scandiaca,Aves,Female,b0,-6.114480748,1.148794013,-8.581307235,-4.000082788
Bubo scandiaca,Aves,Female,b1,0.194356862,0.051255554,0.099763581,0.303707613
Bubo scandiaca,Aves,Male,a0,-0.751149808,0.181737452,-1.121059763,-0.40808615
Bubo scandiaca,Aves,Male,a1,5.240309588,0.961898525,3.44124412,7.214474372
Bubo scandiaca,Aves,Male,c,0.057984824,0.003759623,0.050047415,0.065122565
Bubo scandiaca,Aves,Male,b0,-8.660152419,1.248342501,-11.39563421,-6.481852989
Bubo scandiaca,Aves,Male,b1,0.307274306,0.05639704,0.207210547,0.428839803
Lamprotornis superbus,Aves,Female,a0,-0.478620484,0.14845551,-0.77566796,-0.199592906
Lamprotornis superbus,Aves,Female,a1,2.95865369,0.551592807,2.019029821,4.18002189
Lamprotornis superbus,Aves,Female,c,0.114884556,0.009701636,0.092541876,0.130205424
Lamprotornis superbus,Aves,Female,b0,-8.046430247,2.252853705,-13.47405666,-4.628301454
Lamprotornis superbus,Aves,Female,b1,0.330138774,0.115506918,0.150036083,0.604773503
Lamprotornis superbus,Aves,Male,a0,-0.046269309,0.119174253,-0.281939744,0.18019202
Lamprotornis superbus,Aves,Male,a1,3.471870484,0.487581794,2.595331599,4.486142271
Lamprotornis superbus,Aves,Male,c,0.1031516,0.005631957,0.092171029,0.114396986
Lamprotornis superbus,Aves,Male,b0,-9.964777454,1.752460689,-14.05418039,-7.125501336
Lamprotornis superbus,Aves,Male,b1,0.444277827,0.09247756,0.288419528,0.652260225
Leiothrix argentauris,Aves,Female,a0,1.104552096,0.320174804,0.446949891,1.688919198
Leiothrix argentauris,Aves,Female,a1,13.56077125,3.202844778,7.636004151,20.2890415
Leiothrix argentauris,Aves,Female,c,0.192352473,0.024023677,0.135241329,0.228118138
Leiothrix argentauris,Aves,Female,b0,-8.401320796,3.344883178,-15.83246317,-2.98580597
Leiothrix argentauris,Aves,Female,b1,0.20750958,0.163852126,0.007200884,0.607451477
Leiothrix argentauris,Aves,Male,a0,0.743070566,0.352902946,0.023177471,1.396843902
Leiothrix argentauris,Aves,Male,a1,9.172115901,2.895068856,4.099251055,15.44623349
Leiothrix argentauris,Aves,Male,c,0.149521255,0.023962905,0.079755824,0.181092952
Leiothrix argentauris,Aves,Male,b0,-8.301983543,3.487768521,-15.9071857,-2.754805843
Leiothrix argentauris,Aves,Male,b1,0.153362761,0.121151756,0.006872452,0.444882792
Leiothrix lutea,Aves,Female,a0,-2.665147903,0.691909409,-4.113206292,-1.366505877
Leiothrix lutea,Aves,Female,a1,4.979247362,3.565276262,0.217099792,12.92150091
Leiothrix lutea,Aves,Female,c,0.125985263,0.022381023,0.060172712,0.153671235
Leiothrix lutea,Aves,Female,b0,-6.149028355,1.412326594,-9.007119048,-3.33418546
Leiothrix lutea,Aves,Female,b1,0.356207636,0.108454434,0.141931181,0.568329847
Leiothrix lutea,Aves,Male,a0,-1.582055282,0.296049905,-2.179001263,-0.985097251
Leiothrix lutea,Aves,Male,a1,1.469445552,1.177293873,0.462823235,4.977973576
Leiothrix lutea,Aves,Male,c,0.073213264,0.02581392,0.012077839,0.113420216
Leiothrix lutea,Aves,Male,b0,-5.474994663,1.141742042,-7.947910156,-3.559786686
Leiothrix lutea,Aves,Male,b1,0.330105853,0.084824447,0.186503219,0.511302961
Gallicolumba rufigula,Aves,Female,a0,-1.984381535,0.640859825,-3.571169169,-1.048226001
Gallicolumba rufigula,Aves,Female,a1,2.171356586,3.239431063,0.066882033,10.59409644
Gallicolumba rufigula,Aves,Female,c,0.107218045,0.05283724,0.008906365,0.188973317
Gallicolumba rufigula,Aves,Female,b0,-9.211390657,3.285170556,-16.31222933,-3.67953845
Gallicolumba rufigula,Aves,Female,b1,0.202693929,0.166464651,0.005447745,0.605043334
Gallicolumba rufigula,Aves,Male,a0,-1.552878503,0.438533233,-2.597542326,-0.801565783
Gallicolumba rufigula,Aves,Male,a1,1.101021064,1.697943341,0.141285671,6.431024075
Gallicolumba rufigula,Aves,Male,c,0.090286768,0.039867378,0.009858428,0.15687413
Gallicolumba rufigula,Aves,Male,b0,-8.6438436,2.963789061,-15.1710162,-3.661793453
Gallicolumba rufigula,Aves,Male,b1,0.243609842,0.150768356,0.009362288,0.559875193
Grus japonensis,Aves,Female,a0,0.067546119,0.211854339,-0.364010004,0.472987818
Grus japonensis,Aves,Female,a1,12.19784823,2.295438377,8.105547754,17.07868938
Grus japonensis,Aves,Female,c,0.03297255,0.002367407,0.028364382,0.037805471
Grus japonensis,Aves,Female,b0,-11.56123266,2.047210626,-16.03845328,-8.088355976
Grus japonensis,Aves,Female,b1,0.243150571,0.057338439,0.140730565,0.367121641
Grus japonensis,Aves,Male,a0,-0.273393019,0.240041674,-0.770522191,0.185586448
Grus japonensis,Aves,Male,a1,9.279545793,2.066431004,5.730515398,13.76648616
Grus japonensis,Aves,Male,c,0.028477434,0.002211782,0.02431663,0.033044636
Grus japonensis,Aves,Male,b0,-13.24491698,2.705113413,-19.32390149,-8.687452687
Grus japonensis,Aves,Male,b1,0.279640174,0.073324671,0.150002091,0.437782693
Otus bakkamoena,Aves,Female,a0,-2.06974121,0.800366311,-3.845217107,-0.659697431
Otus bakkamoena,Aves,Female,a1,2.958196371,2.253878639,0.569935814,9.303356118
Otus bakkamoena,Aves,Female,c,0.019014644,0.013101365,0.000785619,0.049082449
Otus bakkamoena,Aves,Female,b0,-6.878521997,1.693681664,-10.96317411,-4.501654784
Otus bakkamoena,Aves,Female,b1,0.295578304,0.092701941,0.148432669,0.50856573
Otus bakkamoena,Aves,Male,a0,-2.151316626,0.782687762,-3.817328653,-0.77773007
Otus bakkamoena,Aves,Male,a1,3.940754729,2.617186544,0.75566818,10.61170983
Otus bakkamoena,Aves,Male,c,0.033365032,0.014774005,0.005423213,0.063259123
Otus bakkamoena,Aves,Male,b0,-7.47905473,2.178400238,-12.67894298,-4.280072075
Otus bakkamoena,Aves,Male,b1,0.361909276,0.1298944,0.160016874,0.661270294
Athene cunicularia,Aves,Female,a0,-3.440533781,0.611955929,-4.800310208,-2.4467293
Athene cunicularia,Aves,Female,a1,3.598179235,3.677604571,0.075959393,12.30778678
Athene cunicularia,Aves,Female,c,0.0513719,0.020031689,0.00473763,0.078736424
Athene cunicularia,Aves,Female,b0,-5.00630768,0.67696589,-6.366090742,-3.74231987
Athene cunicularia,Aves,Female,b1,0.334415374,0.057858355,0.227167198,0.452575798
Athene cunicularia,Aves,Male,a0,-2.879298819,0.478186506,-4.009839937,-2.118942246
Athene cunicularia,Aves,Male,a1,2.104221593,2.388123569,0.179494503,8.957548825
Athene cunicularia,Aves,Male,c,0.046852797,0.020390463,0.004067899,0.076218521
Athene cunicularia,Aves,Male,b0,-5.131585025,0.739010535,-6.593943427,-3.803931578
Athene cunicularia,Aves,Male,b1,0.30725902,0.055510926,0.204201148,0.418725843
Aythya americana,Aves,Female,a0,-0.865161233,0.229446496,-1.329257917,-0.427891668
Aythya americana,Aves,Female,a1,6.360650902,1.667797159,3.753843202,10.11085969
Aythya americana,Aves,Female,c,0.077311446,0.009878618,0.054118149,0.092435443
Aythya americana,Aves,Female,b0,-6.442191405,1.271087456,-9.161032607,-4.171967111
Aythya americana,Aves,Female,b1,0.280727651,0.075535418,0.142716754,0.43680156
Aythya americana,Aves,Male,a0,-0.805361832,0.195620645,-1.190045685,-0.426510769
Aythya americana,Aves,Male,a1,4.772618274,1.132747217,3.004473605,7.400102992
Aythya americana,Aves,Male,c,0.057274759,0.012111035,0.027474483,0.075483084
Aythya americana,Aves,Male,b0,-5.370260033,0.952485485,-7.437328702,-3.671655309
Aythya americana,Aves,Male,b1,0.219801953,0.056280154,0.119705991,0.338094677
Aythya baeri,Aves,Female,a0,-0.991270181,0.371191667,-1.766929978,-0.329514552
Aythya baeri,Aves,Female,a1,6.294635108,2.104997314,2.995091956,11.29018527
Aythya baeri,Aves,Female,c,0.040784178,0.022163861,0.002952439,0.08201668
Aythya baeri,Aves,Female,b0,-3.941606172,0.799798775,-5.866137365,-2.86875782
Aythya baeri,Aves,Female,b1,0.20787815,0.063112943,0.116604041,0.361587109
Aythya baeri,Aves,Male,a0,-1.362785205,0.447930344,-2.243737083,-0.51883401
Aythya baeri,Aves,Male,a1,4.972387251,3.029605889,1.211778629,12.33309815
Aythya baeri,Aves,Male,c,0.072321163,0.018927515,0.023472031,0.100436269
Aythya baeri,Aves,Male,b0,-6.149886201,2.004752003,-11.24444543,-3.266996915
Aythya baeri,Aves,Male,b1,0.286416071,0.13311778,0.082586127,0.612093775
Aythya collaris,Aves,Female,a0,-0.971849678,0.405125652,-1.787440708,-0.182080739
Aythya collaris,Aves,Female,a1,2.69773399,1.473567546,0.83938863,6.615042946
Aythya collaris,Aves,Female,c,0.108481966,0.016515851,0.070232814,0.134666569
Aythya collaris,Aves,Female,b0,-8.520530705,2.563898969,-14.03383987,-3.968579691
Aythya collaris,Aves,Female,b1,0.398694965,0.158726531,0.105010795,0.726749974
Aythya collaris,Aves,Male,a0,-0.539646876,0.402121609,-1.385683488,0.190496568
Aythya collaris,Aves,Male,a1,4.739829988,1.726052413,1.661468395,8.36470511
Aythya collaris,Aves,Male,c,0.096139287,0.013191094,0.066864633,0.117954119
Aythya collaris,Aves,Male,b0,-7.809994529,2.12628941,-12.88614644,-4.505566003
Aythya collaris,Aves,Male,b1,0.37709494,0.125011546,0.173037103,0.663397994
Numida meleagris,Aves,Female,a0,-2.73581075,0.490809444,-3.91458623,-1.92544894
Numida meleagris,Aves,Female,a1,1.302632741,1.710066177,0.111374868,6.650145388
Numida meleagris,Aves,Female,c,0.163044837,0.029982069,0.074693981,0.194439901
Numida meleagris,Aves,Female,b0,-8.004704282,2.679960948,-13.91154642,-3.419705364
Numida meleagris,Aves,Female,b1,0.392176864,0.179283408,0.080666842,0.776634824
Numida meleagris,Aves,Male,a0,-2.481125409,0.396456491,-3.407119624,-1.859704083
Numida meleagris,Aves,Male,a1,0.537544941,0.668533452,0.114192135,1.360006599
Numida meleagris,Aves,Male,c,0.093349012,0.033518642,0.012925857,0.140827102
Numida meleagris,Aves,Male,b0,-5.387750731,1.116797676,-7.798511593,-3.503566998
Numida meleagris,Aves,Male,b1,0.299714797,0.075983127,0.168842088,0.458936557
Ptilinopus superbus,Aves,Female,a0,-2.050084593,0.763898099,-3.7060915,-0.743388641
Ptilinopus superbus,Aves,Female,a1,7.474427656,3.6184691,1.311967043,14.97182559
Ptilinopus superbus,Aves,Female,c,0.128077378,0.040593355,0.022233807,0.182140572
Ptilinopus superbus,Aves,Female,b0,-5.269088945,2.489390619,-11.56761313,-2.214525023
Ptilinopus superbus,Aves,Female,b1,0.2604193,0.164270977,0.060113424,0.682019649
Ptilinopus superbus,Aves,Male,a0,-0.646472261,0.399343042,-1.497130834,0.084380103
Ptilinopus superbus,Aves,Male,a1,8.000716391,3.167319027,3.123031063,15.0491142
Ptilinopus superbus,Aves,Male,c,0.133885027,0.036701645,0.03056486,0.179418275
Ptilinopus superbus,Aves,Male,b0,-6.218663365,3.042120599,-13.65396554,-2.318677991
Ptilinopus superbus,Aves,Male,b1,0.262762513,0.174347622,0.044217167,0.689257184
Theristicus melanopis,Aves,Female,a0,-2.152528151,0.66707764,-3.55502098,-0.947405666
Theristicus melanopis,Aves,Female,a1,4.74666197,3.394521119,0.521803401,12.59136996
Theristicus melanopis,Aves,Female,c,0.05207111,0.014272304,0.015398175,0.075009997
Theristicus melanopis,Aves,Female,b0,-7.986738713,2.98671492,-15.33880977,-3.748960897
Theristicus melanopis,Aves,Female,b1,0.250611748,0.133194156,0.050555916,0.573126658
Theristicus melanopis,Aves,Male,a0,-1.393315077,0.510881618,-2.435622037,-0.422332918
Theristicus melanopis,Aves,Male,a1,4.95899333,2.724476087,1.255051409,11.70709295
Theristicus melanopis,Aves,Male,c,0.03913598,0.008036463,0.021822773,0.054027085
Theristicus melanopis,Aves,Male,b0,-9.562292496,2.67597476,-15.50920116,-5.010578745
Theristicus melanopis,Aves,Male,b1,0.327718494,0.12167088,0.11070033,0.579907296
Bostrychia hagedash,Aves,Female,a0,-0.175317232,0.313898811,-0.824655731,0.399514151
Bostrychia hagedash,Aves,Female,a1,7.196988731,1.907575451,4.068553894,11.39947055
Bostrychia hagedash,Aves,Female,c,0.06706595,0.009037803,0.048943032,0.083266935
Bostrychia hagedash,Aves,Female,b0,-9.301433639,2.873488909,-16.09904275,-4.561120504
Bostrychia hagedash,Aves,Female,b1,0.2450116,0.11323112,0.033394794,0.488112574
Bostrychia hagedash,Aves,Male,a0,-0.038240979,0.267381846,-0.586739159,0.470628766
Bostrychia hagedash,Aves,Male,a1,3.456784073,1.041686156,1.591426812,5.759226527
Bostrychia hagedash,Aves,Male,c,0.051280824,0.007371504,0.036979581,0.065507763
Bostrychia hagedash,Aves,Male,b0,-10.89529391,2.6466002,-16.29302957,-6.17696739
Bostrychia hagedash,Aves,Male,b1,0.297763791,0.097058015,0.110674484,0.489624005
Pteroglossus torquatus,Aves,Female,a0,-2.178849529,0.893974086,-3.965259336,-0.512709431
Pteroglossus torquatus,Aves,Female,a1,4.560127587,3.096193789,0.295478622,11.64339608
Pteroglossus torquatus,Aves,Female,c,0.150537977,0.0348115,0.062901979,0.208930184
Pteroglossus torquatus,Aves,Female,b0,-8.29335513,3.458210368,-16.03501885,-2.829128869
Pteroglossus torquatus,Aves,Female,b1,0.216992154,0.174388622,0.006585884,0.652491345
Pteroglossus torquatus,Aves,Male,a0,-2.088336296,0.940170827,-3.966331102,-0.289563424
Pteroglossus torquatus,Aves,Male,a1,4.703671532,3.037103561,0.200663574,11.60740201
Pteroglossus torquatus,Aves,Male,c,0.160312792,0.035576748,0.070829839,0.221701393
Pteroglossus torquatus,Aves,Male,b0,-8.397249701,3.334062581,-15.71663504,-2.842408224
Pteroglossus torquatus,Aves,Male,b1,0.234724277,0.184294013,0.008887526,0.678548252
Spheniscus humboldti,Aves,Female,a0,-1.280933406,0.099758411,-1.480166605,-1.087566744
Spheniscus humboldti,Aves,Female,a1,3.473213485,0.407368833,2.73389868,4.35214994
Spheniscus humboldti,Aves,Female,c,0.051339,0.001714453,0.04778856,0.054627518
Spheniscus humboldti,Aves,Female,b0,-8.75505947,0.7292268,-10.24573538,-7.376986842
Spheniscus humboldti,Aves,Female,b1,0.267572136,0.029199273,0.21134396,0.325773797
Spheniscus humboldti,Aves,Male,a0,-0.902088248,0.088690363,-1.077375299,-0.73030864
Spheniscus humboldti,Aves,Male,a1,3.606464158,0.377097493,2.904143934,4.374291702
Spheniscus humboldti,Aves,Male,c,0.051117251,0.001482063,0.048241808,0.054079663
Spheniscus humboldti,Aves,Male,b0,-11.49142949,1.192165734,-14.04855322,-9.474645384
Spheniscus humboldti,Aves,Male,b1,0.362522124,0.045232601,0.284822732,0.458694144
Cygnus columbianus,Aves,Female,a0,-2.682860033,0.762748006,-4.309140063,-1.28659261
Cygnus columbianus,Aves,Female,a1,4.753974801,2.865013191,0.685188152,11.42181342
Cygnus columbianus,Aves,Female,c,0.041301006,0.014745789,0.006534906,0.064868329
Cygnus columbianus,Aves,Female,b0,-5.997558239,1.785413473,-10.37132992,-3.584463414
Cygnus columbianus,Aves,Female,b1,0.169763108,0.071018959,0.070428678,0.349196873
Cygnus columbianus,Aves,Male,a0,-0.411729153,0.545126135,-1.56817894,0.541986087
Cygnus columbianus,Aves,Male,a1,7.34089409,2.321749936,3.246053795,12.54216593
Cygnus columbianus,Aves,Male,c,0.030679754,0.015502848,0.00223564,0.057980075
Cygnus columbianus,Aves,Male,b0,-5.689370804,1.859561604,-10.79421738,-3.592601968
Cygnus columbianus,Aves,Male,b1,0.16105092,0.074607709,0.070177096,0.352359239
Anas clypeata,Aves,Female,a0,-1.537700143,0.301218085,-2.158030424,-0.981348051
Anas clypeata,Aves,Female,a1,2.157026005,1.065248226,1.06115781,5.117400154
Anas clypeata,Aves,Female,c,0.070960542,0.039827675,0.003693922,0.140645059
Anas clypeata,Aves,Female,b0,-3.588675949,1.678208383,-8.963474915,-2.229518902
Anas clypeata,Aves,Female,b1,0.06558889,0.035717427,0.01810294,0.153787865
Anas clypeata,Aves,Male,a0,-1.438651049,0.224035482,-1.889175215,-1.027546672
Anas clypeata,Aves,Male,a1,1.486557046,0.456322674,0.766157696,2.531568237
Anas clypeata,Aves,Male,c,0.073220588,0.022969957,0.016447391,0.106339794
Anas clypeata,Aves,Male,b0,-4.869794956,1.06892502,-7.15674763,-3.067161158
Anas clypeata,Aves,Male,b1,0.230958845,0.072474199,0.111911905,0.387262494
Anas discors,Aves,Female,a0,-1.527336044,0.495681188,-2.650504045,-0.694128844
Anas discors,Aves,Female,a1,4.841430174,2.468211963,1.491321337,11.0408263
Anas discors,Aves,Female,c,0.161292838,0.020446204,0.103790128,0.188054338
Anas discors,Aves,Female,b0,-7.062237661,2.636395342,-13.34930727,-3.078376258
Anas discors,Aves,Female,b1,0.345697317,0.187552185,0.057798983,0.77640499
Anas discors,Aves,Male,a0,-1.520419273,0.37551065,-2.299452676,-0.805732865
Anas discors,Aves,Male,a1,2.481929348,1.748064767,0.721106904,7.571198386
Anas discors,Aves,Male,c,0.115535525,0.032812711,0.031254697,0.159654067
Anas discors,Aves,Male,b0,-4.993926056,1.465279136,-8.229063692,-2.709727638
Anas discors,Aves,Male,b1,0.285810122,0.116565098,0.109278082,0.549601944
Anas hottentota,Aves,Female,a0,-0.489085062,0.332734594,-1.159263502,0.119097337
Anas hottentota,Aves,Female,a1,9.018052727,3.260710177,3.806268285,16.06353382
Anas hottentota,Aves,Female,c,0.134384956,0.014339003,0.0975331,0.154191805
Anas hottentota,Aves,Female,b0,-7.89572181,2.572200092,-13.66105711,-3.725951605
Anas hottentota,Aves,Female,b1,0.378323344,0.161941844,0.105600742,0.728126712
Anas hottentota,Aves,Male,a0,0.404265476,0.204556668,-0.009683988,0.785467504
Anas hottentota,Aves,Male,a1,9.083546529,2.083718039,5.32402499,13.64129944
Anas hottentota,Aves,Male,c,0.121010329,0.007749063,0.105830678,0.135738264
Anas hottentota,Aves,Male,b0,-9.238029384,1.611767079,-12.83384053,-6.507411575
