"species","Order","Class","exDiff","FemaleBM","MaleBM","Testes","FemaleAFB","MaleAFB","Monogamy","AnnProd","FemaleCare","DichroAves","weights"
"Aulacorhynchus prasinus","Piciformes","Aves",-0.132967899324518,152.596297219635,169.415422488255,0.239941646,NA,NA,1,NA,1,0,0.448558047637329
"Passer luteus","Passeriformes","Aves",-0.0689059597949823,16.1395776892324,15.0688452915573,NA,NA,NA,1,NA,NA,1.2,0.508093153702625
"Aythya americana","Anseriformes","Aves",-0.0505753852908477,857.265576353792,922.429667290076,NA,1.15865845311431,1.08117727583847,1,604.2111439,1,1,0.736695110835248
"Aythya australis","Anseriformes","Aves",-0.0260563498615094,696.919644346865,763.354043451216,NA,1.69281314168378,1.83928815879535,NA,660,1,0.2,0.612256509167053
"Aythya baeri","Anseriformes","Aves",-0.0989474499330979,655.038551916671,730.911687290105,NA,0.991649555099247,1.04147843942505,NA,365.5,NA,0.2,0.62549727816462
"Aythya collaris","Anseriformes","Aves",-0.0789160065784363,614.989380691121,660.204599404662,0.11,2.44544832306639,0.999315537,1,459,1,1,0.609867641111143
"Aythya ferina","Anseriformes","Aves",-0.0497648160162615,869,937,NA,1.98439425051335,1.19315537303217,1,580.8,1,1,0.728069627626132
"Aythya fuligula","Anseriformes","Aves",-0.0197883372542966,608.128699682509,609.821511166323,NA,1.94934976043806,2.00219028062971,1,537.6,1,0.4,0.705526576737687
"Aythya marila","Anseriformes","Aves",0.0241251012638657,958,997,0.11,2.07802874743326,0.999315537,1,629.8,1,1,0.610049465413472
"Aythya novaeseelandiae","Anseriformes","Aves",-0.109997602204386,615.633161397753,614.930106696923,NA,1.04859685147159,0.967008898015058,1,409.5,NA,0.4,0.579814829039222
"Aythya nyroca","Anseriformes","Aves",-0.139416003515818,491.409610870605,531.213412570724,NA,1.13127994524298,1.09240246406571,1,387,1,0.2,0.804535440216451
"Aythya valisineria","Anseriformes","Aves",0.0993668802210931,986.528230287569,1055.33411898615,0.19,2.09609856262834,1.21724845995893,1,612,1,1,0.689337170953288
"Pteroglossus bailloni","Piciformes","Aves",-0.111869803424662,124.537570271404,136.627637651416,NA,NA,NA,NA,NA,NA,0.4,0.478960801142041
"Balearica pavonina","Gruiformes","Aves",0.140753365277499,3107.80977813634,3641.00127090022,NA,4.60616016427105,4.8829568788501,NA,342.5,0,0,0.592410218179894
"Balearica regulorum","Gruiformes","Aves",-0.0273807739992598,3707.13653262459,4360.49878124588,NA,3.94360027378508,4.13141683778234,1,380,0,0,0.739686324030062
"Bambusicola fytchii","Galliformes","Aves",-0.00589839971080609,311.347155917353,348.816988593837,NA,NA,NA,NA,NA,1,0,0.51445036111809
"Bambusicola thoracicus","Galliformes","Aves",-0.0526719147568728,233.96436435813,251.186380843981,NA,0.858316221765914,0.899383983572895,1,NA,1,0,0.528883259161079
"Bombycilla garrulus","Passeriformes","Aves",0.309174227717891,54,54.85,0.36,0.999315537,0.999315537,1,19,1,0,0.477804030793497
"Bonasa umbellus","Galliformes","Aves",-0.17137467586429,498,585,1.93,0.91061191,0.328542094,0,198,1,0.2,0.468556057957577
"Bostrychia hagedash","Pelecaniformes","Aves",-0.0321505199987007,1110.06081851193,1304.67767797918,NA,1.78617385352498,1.82888432580424,NA,177.01,1,0,0.529212988794182
"Branta bernicla","Anseriformes","Aves",0.152896111760359,1230,1402.5,0.8647530915,1.998631075,1.998631075,1,364,1,0,0.46647571126815
"Branta canadensis","Anseriformes","Aves",0.0616897119058544,4458.53152226513,5436.88322792332,4.255984131,2.51170431211499,2.47939767282683,1,839.45,1,0,0.683799517069328
"Branta hutchinsii","Anseriformes","Aves",-0.0823584534853573,1682.14019014776,1978.14819773906,NA,2.95386721423682,2.97878165639973,1,NA,1,0,0.658099717198978
"Branta leucopsis","Anseriformes","Aves",0.0194531941913538,1831.4880234212,2010.8462740261,1.54,2.07583846680356,2.05749486652977,1,481.5,1,0,0.72613347257293
