"species","Class","Order","exDiff","FemaleBM","MaleBM","FemaleAFB","MaleAFB","MS","ReprEff","CareMammals","CareAves","Dichro","weights"
"Platycercus icterotis","Aves","Psittaciformes",-0.288244456834443,61.2,65.4,0.99512115,1.01300479123888,"1",NA,NA,-2,1.4,0.526767246969665
"Columba livia","Aves","Columbiformes",-0.103575956480788,395.96864273224,402.891982556929,0.726899383983573,0.761122518822724,"1",142.4,NA,0,0,0.774964436426753
"Anas bernieri","Aves","Anseriformes",-0.0841988229692933,343.693607485474,365.124018258934,1.06666666666667,1.01930184804928,"1",216,NA,NA,0,0.694931910111406
"Anas capensis","Aves","Anseriformes",-0.106769047448943,384.602981778605,403.622274359003,1.71498973305955,1.57371663244353,"1",420.0557103,NA,-1,0,0.724548964321934
"Platycercus elegans","Aves","Psittaciformes",0.0845500292932336,121.032306412762,147.06640306904,1.243901437,NA,"1",NA,NA,-1,0,0.41116057671757
"Eclectus roratus","Aves","Psittaciformes",0.021916849994049,447.35019812442,436.35428782141,2.51006160164271,2.31129363449692,"0",NA,NA,-0.4,-1.6,0.710351698224992
"Jacana jacana","Aves","Charadriiformes",0.0255702835592695,130.542589675384,89.3504628905615,NA,NA,"1",NA,NA,1.25,0,0.538305050667591
"Fratercula cirrhata","Aves","Charadriiformes",0.0453448651680058,737.363400787825,821.752823064076,3.93182751540041,3.99452429842574,"1",131.85,NA,0,0,0.626527872561809
"Cyanoramphus unicolor","Aves","Psittaciformes",-0.2256907214672,154.99204866936,165.093063011214,NA,NA,"1",NA,NA,-1,0,0.523398700352802
"Guttera pucherani","Aves","Galliformes",0.0471327542219255,1113.16131103911,1226.11160086216,1.01300479123888,1.86283367556468,"1",NA,NA,-2,0,0.647302144201053
"Anser fabalis","Aves","Anseriformes",-0.088085655405736,2735.25,3112.75,2.991655031,2.997946612,"1",730,NA,-1.5,0,0.539283142418794
"Anser indicus","Aves","Anseriformes",0.0107012866060583,2269.10698067106,2571.9965973693,3.00506502395619,2.04517453798768,"1",705,NA,0,0,0.751835275783901
