"species","Class","Order","exFemale","exFemaleSD","exFemaleLower","exFemaleUpper","exMale","exMaleSD","exMaleLower","exMaleUpper","exDiff","exDiffSD","exDiffLower","exDiffUpper","zeroOverlap"
"Nettapus auritus","Aves","Anseriformes",4.09728432493457,0.294521329607503,3.53412800631103,4.71158156294847,3.79447964985708,0.294140238408757,3.19531216349996,4.33621774868994,0.0704788448784349,0.0961561939403961,-0.115479365991543,0.254878509889739,0.463581551580509
"Nettapus coromandelianus","Aves","Anseriformes",4.77797114788402,0.455421795477111,3.88471508849259,5.65619924585068,4.21493054038072,0.463530309585257,3.34178991196472,5.16841168586958,0.111760732465839,0.123439588574347,-0.140325103391194,0.332066680665545,0.365259826822635
"Oxyura jamaicensis","Aves","Anseriformes",4.64285288577442,0.171230265693019,4.3585956704432,5.03445636911482,5.14254942719263,0.144952096698985,4.86808011903065,5.4257140814254,-0.0965112684555693,0.0408407718683513,-0.168484512514451,-0.00770641774787537,0.0181222513048489
"Columbina cruziana","Aves","Columbiformes",6.52011686409421,0.446150442538798,5.70761510838596,7.42848331487868,7.90245865395403,0.539964610389834,6.87196315779952,9.02257545795131,-0.171064515927791,0.0805376781727362,-0.314054372336166,-0.00477041164345638,0.0336675609861061
"Eudocimus albus","Aves","Pelecaniformes",13.5067632430742,0.666346435732806,12.0983589759119,14.8690730925088,13.2734871513141,0.855484607309676,11.6666524589412,15.1240964627527,0.0172220259235031,0.0751323030435669,-0.139275278105932,0.16459415607908,0.818695865746267
"Oxyura leucocephala","Aves","Anseriformes",5.68905818971588,0.397669768778859,5.00430025975946,6.53224082050347,6.44660720953582,0.317874829923605,5.87087673391096,7.14186148282957,-0.115448967476992,0.0765052913227915,-0.255345301542407,0.049299944025935,0.131290489429045
"Psophodes olivaceus","Aves","Passeriformes",6.79997035620432,0.85251883066959,5.29103883356964,8.66492551854172,10.6885096708034,1.31986726727349,8.51778005208845,13.6539814675226,-0.355029031422731,0.108087474276269,-0.561149978145806,-0.105778134267504,0.00102110774967379
"Cereopsis novaehollandiae","Aves","Anseriformes",8.39649051200663,0.359443449889377,7.6734193570484,9.16301076172838,9.28224898869023,0.393546573650155,8.50784094528406,10.1324325485707,-0.0937829449482591,0.0553341913074884,-0.19983809888179,0.0194205171897067,0.0901045969596324
"Tringa totanus","Aves","Charadriiformes",7.58197395654772,0.586413034135188,6.51423601767515,8.81863160425396,7.89943195955156,0.60767167426915,6.7146497374434,9.19957427508241,-0.037788009257874,0.0966705366044113,-0.202634073322748,0.166034275752721,0.695875004014914
"Sarkidiornis melanotos","Aves","Anseriformes",8.47022491106101,0.304239045802487,7.86507315131617,9.10153733576209,7.0040350980578,0.29326077218682,6.47226025651134,7.55325194174925,0.171989159243568,0.0464549081830865,0.074977210135885,0.259491959933129,0.000213669134993495
"Somateria mollissima","Aves","Anseriformes",5.52675463003209,0.147496539756828,5.24701917547076,5.8230723286491,5.72625214097298,0.161196151552317,5.41756118019113,6.06791746703519,-0.0342277260428282,0.0365532453681948,-0.102619312670835,0.0406885387726214,0.349077597737714
"Geopelia placida","Aves","Columbiformes",5.74775979145638,0.433565074166081,4.94664491276463,6.8004608567031,6.53033994853374,0.520563021690035,5.5595654971608,7.64460813759136,-0.114877992869138,0.0950305885808553,-0.295379933501852,0.0713276418092156,0.226719403297452
"Geophaps plumifera","Aves","Columbiformes",4.97180880871712,0.67854431804372,3.78394681357362,6.46710918244623,5.95548199859468,0.817130462248341,4.51519702571801,7.89073881137122,-0.152499585813529,0.157784902344563,-0.441005635925528,0.167403983608653,0.333792532719547
"Phaps chalcoptera","Aves","Columbiformes",6.80798095495114,0.421309742876452,6.00423085029989,7.65965602966819,7.53146257519479,0.466135696689149,6.60651249950779,8.48043789828076,-0.0930087441803848,0.0780998957581001,-0.234955207002286,0.0598638252027392,0.233694964400759
"Phoenicopterus ruber","Aves","Phoenicopteriformes",30.4767192161752,0.976758558508174,28.3282125444436,32.3481915249226,31.6806271942003,0.888205726765772,29.7191260200138,33.260781875634,-0.0377170255808435,0.029013706404865,-0.0929860553078201,0.018051847146594,0.193610333992645
"Psarisomus dalhousiae","Aves","Passeriformes",2.13500521196261,0.290473372600268,1.59122771368418,2.67736932848615,1.24266770320718,0.288289167641505,0.75639241744172,1.84481723079865,0.408615688692025,0.152206724103749,0.0743264836277122,0.659207059494078,0.00726144908433986
"Calyptomena viridis","Aves","Passeriformes",2.77008284622526,0.430005415407339,2.0094067419487,3.68903359698808,2.66723363251602,0.397537233625587,1.92533145017069,3.53124260814579,0.03155497275818,0.178213687678113,-0.319687726979421,0.376211389879219,0.859459245636605
"Pitta sordida","Aves","Passeriformes",3.01040896170368,0.181573403716876,2.67504747322065,3.42119448442264,2.98080545616866,0.197298551446629,2.61731410328948,3.42192570613578,0.00967335590864756,0.0818102941912514,-0.148419419856488,0.162765322619005,0.905876463213882
"Pitta versicolor","Aves","Passeriformes",4.38618565892758,0.37642063176051,3.67273557692354,5.15803365425638,4.22574980653493,0.397971724630789,3.47330902056602,5.04389007256574,0.0344412938986864,0.115217031050045,-0.185413239731888,0.252649080090632,0.764996987452698
